time,microjax,vbmicrolensing,relative_difference
-1.051051051051051122e+00,7.444708358770022016e+00,7.444707707231422944e+00,8.751701540136186723e-08
-1.036036036036036112e+00,7.564937172716861724e+00,7.564934703584083486e+00,3.263918163190459408e-07
-1.021021021021021102e+00,7.688228553491683215e+00,7.688228979079683612e+00,5.535579150344970799e-08
-1.006006006006006093e+00,7.814562012904767485e+00,7.814560466543265527e+00,1.978820828860309838e-07
-9.909909909909906389e-01,7.943893350344792381e+00,7.943890169192846962e+00,4.004526595491292625e-07
-9.759759759759756292e-01,8.076150310426310597e+00,8.076148683166215037e+00,2.014896158303868897e-07
-9.609609609609606196e-01,8.211227696597433123e+00,8.211225989598247565e+00,2.078860316011534368e-07
-9.459459459459456099e-01,8.348981921783829918e+00,8.348980346191307689e+00,1.887167602386499294e-07
-9.309309309309306002e-01,8.489224996266695911e+00,8.489225767291310731e+00,9.082390266865492403e-08
-9.159159159159155905e-01,8.631717977436409228e+00,8.631715848518156875e+00,2.466390564419071012e-07
-9.009009009009005808e-01,8.776163939956923343e+00,8.776156798731603814e+00,8.137075810406215942e-07
-8.858858858858855712e-01,8.922200573841630344e+00,8.922195988109058007e+00,5.139690473566256728e-07
-8.708708708708705615e-01,9.069392572977763578e+00,9.069391551634211623e+00,1.126143409003623080e-07
-8.558558558558555518e-01,9.217224052390445621e+00,9.217217835690082239e+00,6.744660345673924215e-07
-8.408408408408405421e-01,9.365091310561838966e+00,9.365084255315554884e+00,7.533564132194288899e-07
-8.258258258258255324e-01,9.512296361646026099e+00,9.512300386113727413e+00,4.230803841296362922e-07
-8.108108108108105228e-01,9.658041753024320997e+00,9.658035241758147649e+00,6.741812398028330347e-07
-7.957957957957955131e-01,9.801427324385230122e+00,9.801424573849196520e+00,2.806261490743704446e-07
-7.807807807807805034e-01,9.941449487175098909e+00,9.941454485229050064e+00,5.027487636322464996e-07
